ORDER_NUMBER,QUANTITY,ORDER_LINE_NUMBER,ORDER_DATE,STATUS,PRODUCT_PURCHASED,SOLD_TO,DEAL_SIZE
10380,21,8,30-07-2005 00:00,Shipped,S18_2795,Euro Shopping Channel,Small
10412,21,2,31-07-2005 00:00,Shipped,S24_1444,Euro Shopping Channel,Small
10203,21,2,01-08-2005 00:00,Shipped,S24_2972,Euro Shopping Channel,Small
10383,21,4,02-08-2005 00:00,Shipped,S24_4048,Euro Shopping Channel,Small
10262,21,12,03-08-2005 00:00,Cancelled,S72_1253,Euro Shopping Channel,Small
10388,21,7,04-08-2005 00:00,Shipped,S10_4698,FunGiftIdeas.com,Small
10321,21,4,05-08-2005 00:00,Shipped,S24_3432,FunGiftIdeas.com,Small
10131,21,4,06-08-2005 00:00,Shipped,S18_1662,Gift Ideas Corp.,Small
10131,21,7,07-08-2005 00:00,Shipped,S72_1253,Gift Ideas Corp.,Small
10316,21,15,08-08-2005 00:00,Shipped,S18_3029,giftsbymail.co.uk,Small
10217,21,3,09-08-2005 00:00,Shipped,S32_1268,Handji Gifts& Co,Small
10181,21,5,10-08-2005 00:00,Shipped,S18_1984,Herkku Gifts,Medium
10336,21,7,11-08-2005 00:00,Shipped,S18_3259,"La Corne D'abondance, Co.",Small
10114,21,5,12-08-2005 00:00,Shipped,S24_2300,"La Corne D'abondance, Co.",Small
10375,21,12,13-08-2005 00:00,Shipped,S10_1678,La Rochelle Gifts,Small
10275,21,2,14-08-2005 00:00,Shipped,S24_1578,La Rochelle Gifts,Small
10107,21,1,15-08-2005 00:00,Shipped,S12_2823,Land of Toys Inc.,Medium
10292,21,8,16-08-2005 00:00,Shipped,S12_4473,Land of Toys Inc.,Small
10248,21,1,17-08-2005 00:00,Cancelled,S18_3029,Land of Toys Inc.,Small
10292,21,12,18-08-2005 00:00,Shipped,S18_3232,Land of Toys Inc.,Small
10266,21,6,19-08-2005 00:00,Shipped,S18_1129,L'ordine Souveniers,Small
10122,21,13,20-08-2005 00:00,Shipped,S18_3278,Marseille Mini Autos,Small
10122,21,12,21-08-2005 00:00,Shipped,S18_3482,Marseille Mini Autos,Small
10344,21,4,22-08-2005 00:00,Shipped,S18_4409,Marseille Mini Autos,Small
10164,21,2,23-08-2005 00:00,Resolved,S10_4962,Mini Auto Werke,Medium
10241,21,11,24-08-2005 00:00,Shipped,S18_1589,Mini Caravy,Small
10241,21,10,25-08-2005 00:00,Shipped,S24_1628,Mini Caravy,Small
10308,21,12,26-08-2005 00:00,Shipped,S700_1691,Mini Classics,Small
10308,21,13,27-08-2005 00:00,Shipped,S700_3167,Mini Classics,Small
10185,21,13,28-08-2005 00:00,Shipped,S12_1108,Mini Creations Ltd.,Medium
10185,21,3,29-08-2005 00:00,Shipped,S700_1138,Mini Creations Ltd.,Small
10113,21,2,30-08-2005 00:00,Shipped,S12_1666,Mini Gifts Distributors Ltd.,Medium
10182,21,4,31-08-2005 00:00,Shipped,S18_2795,Mini Gifts Distributors Ltd.,Medium
10142,21,3,01-09-2005 00:00,Shipped,S700_3505,Mini Gifts Distributors Ltd.,Small
10331,21,1,02-09-2005 00:00,Shipped,S24_3856,Motor Mint Distributors Inc.,Medium
10284,21,10,03-09-2005 00:00,Shipped,S24_3949,"Norway Gifts By Mail, Co.",Small
10284,21,2,04-09-2005 00:00,Shipped,S24_4278,"Norway Gifts By Mail, Co.",Small
10276,21,11,05-09-2005 00:00,Shipped,S50_4713,Online Mini Collectables,Small
10210,21,12,06-09-2005 00:00,Shipped,S700_1691,Osaka Souveniers Co.,Small
10239,21,5,07-09-2005 00:00,Shipped,S12_4675,"Oulu Toy Supplies, Inc.",Small
10151,21,7,08-09-2005 00:00,Shipped,S18_3232,"Oulu Toy Supplies, Inc.",Medium
10423,21,2,09-09-2005 00:00,In Process,S18_3136,Petit Auto,Small
10423,21,5,10-09-2005 00:00,In Process,S18_3320,Petit Auto,Small
10273,21,7,11-09-2005 00:00,Shipped,S700_1138,Petit Auto,Small
10273,21,14,12-09-2005 00:00,Shipped,S700_1938,Petit Auto,Small
10173,21,14,13-09-2005 00:00,Shipped,S18_4409,Rovelli Gifts,Small
10283,21,4,14-09-2005 00:00,Shipped,S18_3029,"Royal Canadian Collectables, Ltd.",Small
10119,21,9,15-09-2005 00:00,Shipped,S18_3029,Salzburg Collectables,Small
10194,21,10,16-09-2005 00:00,Shipped,S18_1097,"Saveley & Henriot, Co.",Small
10167,21,2,17-09-2005 00:00,Cancelled,S24_2841,Scandinavian Gift Ideas,Small
10219,21,3,18-09-2005 00:00,Shipped,S24_2840,Signal Collectibles Ltd.,Small
10124,21,6,19-09-2005 00:00,Shipped,S18_1749,Signal Gift Stores,Small
10270,21,9,20-09-2005 00:00,Shipped,S10_1949,Souveniers And Things Co.,Medium
10270,21,5,21-09-2005 00:00,Shipped,S32_3522,Souveniers And Things Co.,Small
10141,21,5,22-09-2005 00:00,Shipped,S12_4473,Suominen Souveniers,Small
10363,21,8,23-09-2005 00:00,Shipped,S24_2000,Suominen Souveniers,Medium
10141,21,6,24-09-2005 00:00,Shipped,S24_2840,Suominen Souveniers,Small
10363,21,15,25-09-2005 00:00,Shipped,S24_3371,Suominen Souveniers,Small
10245,21,3,26-09-2005 00:00,Shipped,S18_4600,Super Scale Inc.,Small
10168,21,9,27-09-2005 00:00,Shipped,S18_2581,Technics Stores Inc.,Small
10401,21,2,28-09-2005 00:00,On Hold,S700_2834,Tekni Collectables Inc.,Small
10258,21,4,29-09-2005 00:00,Shipped,S18_4668,"Tokyo Collectables, Ltd",Small
10339,21,7,30-09-2005 00:00,Shipped,S24_1785,"Tokyo Collectables, Ltd",Small
10191,21,3,01-10-2005 00:00,Shipped,S12_1099,"Toms Spezialitten, Ltd",Medium
10367,21,10,02-10-2005 00:00,Resolved,S24_1046,Toys4GrownUps.com,Small
10287,21,12,03-10-2005 00:00,Shipped,S12_1099,"Vida Sport, Ltd",Medium
10225,21,6,04-10-2005 00:00,Shipped,S12_4675,"Vida Sport, Ltd",Small
10178,22,1,05-10-2005 00:00,Shipped,S700_2466,Alpha Cognac,Small
10397,22,4,06-10-2005 00:00,Shipped,S700_2610,Alpha Cognac,Small
10280,22,10,07-10-2005 00:00,Shipped,S18_2795,Amica Models & Co.,Medium
10293,22,6,08-10-2005 00:00,Shipped,S18_3259,Amica Models & Co.,Small
10370,22,5,09-10-2005 00:00,Shipped,S18_2319,"Anna's Decorations, Ltd",Medium
10370,22,7,10-10-2005 00:00,Shipped,S18_2432,"Anna's Decorations, Ltd",Small
10193,22,8,11-10-2005 00:00,Shipped,S18_2795,"Australian Collectables, Ltd",Medium
10193,22,12,12-10-2005 00:00,Shipped,S24_3969,"Australian Collectables, Ltd",Small
10342,22,3,13-10-2005 00:00,Shipped,S18_1984,"Australian Collectors, Co.",Medium
10120,22,6,14-10-2005 00:00,Shipped,S32_1374,"Australian Collectors, Co.",Small
10374,22,1,15-10-2005 00:00,Shipped,S10_4698,"Australian Gift Network, Co",Medium
10374,22,4,16-10-2005 00:00,Shipped,S18_2625,"Australian Gift Network, Co",Small
10211,22,6,17-10-2005 00:00,Shipped,S24_4620,Auto Canal Petit,Small
10352,22,1,18-10-2005 00:00,Shipped,S700_4002,Auto-Moto Classics Inc.,Small
10103,22,2,19-10-2005 00:00,Shipped,S18_2432,Baane Mini Imports,Small
10158,22,1,20-10-2005 00:00,Shipped,S24_2000,Baane Mini Imports,Small
10296,22,12,21-10-2005 00:00,Shipped,S18_3856,"Bavarian Collectables Imports, Co.",Small
10296,22,14,22-10-2005 00:00,Shipped,S24_3816,"Bavarian Collectables Imports, Co.",Small
10296,22,3,23-10-2005 00:00,Shipped,S700_3167,"Bavarian Collectables Imports, Co.",Small
10300,22,6,24-10-2005 00:00,Shipped,S12_3990,"Blauer See Auto, Co.",Small
10307,22,9,25-10-2005 00:00,Shipped,S10_4757,"Classic Gift Ideas, Inc",Small
10183,22,10,26-10-2005 00:00,Shipped,S18_3136,"Classic Gift Ideas, Inc",Small
10307,22,3,27-10-2005 00:00,Shipped,S24_3420,"Classic Gift Ideas, Inc",Small
10307,22,8,28-10-2005 00:00,Shipped,S24_3816,"Classic Gift Ideas, Inc",Small
10159,22,16,29-10-2005 00:00,Shipped,S10_4698,Corporate Gift Ideas Co.,Medium
10126,22,4,30-10-2005 00:00,Shipped,S10_4962,"Corrida Auto Replicas, Ltd",Medium
10180,22,7,31-10-2005 00:00,Shipped,S32_4485,Daedalus Designs Imports,Small
10105,22,11,01-11-2005 00:00,Shipped,S18_3140,Danish Wholesale Imports,Medium
10238,22,7,02-11-2005 00:00,Shipped,S24_4620,Danish Wholesale Imports,Small
10105,22,7,03-11-2005 00:00,Shipped,S700_3962,Danish Wholesale Imports,Small
10186,22,2,04-11-2005 00:00,Shipped,S24_2841,"Double Decker Gift Stores, Ltd",Small
10117,22,12,05-11-2005 00:00,Shipped,S18_4027,"Dragon Souveniers, Ltd.",Small
10197,22,3,06-11-2005 00:00,Shipped,S18_3856,Enaco Distributors,Small
10197,22,5,07-11-2005 00:00,Shipped,S24_3816,Enaco Distributors,Small
10246,22,8,08-11-2005 00:00,Shipped,S18_2319,Euro Shopping Channel,Small
10394,22,5,09-11-2005 00:00,Shipped,S18_3232,Euro Shopping Channel,Medium
10378,22,4,10-11-2005 00:00,Shipped,S18_3278,Euro Shopping Channel,Small
10386,22,6,11-11-2005 00:00,Resolved,S18_3856,Euro Shopping Channel,Small
10153,22,6,12-11-2005 00:00,Shipped,S18_4522,Euro Shopping Channel,Small
10383,22,2,13-11-2005 00:00,Shipped,S24_1444,Euro Shopping Channel,Small
10246,22,3,14-11-2005 00:00,Shipped,S50_1392,Euro Shopping Channel,Small
10413,22,1,15-11-2005 00:00,Shipped,S12_3891,Gift Depot Inc.,Medium
10172,22,1,16-11-2005 00:00,Shipped,S24_2766,Gift Depot Inc.,Small
10172,22,4,17-11-2005 00:00,Shipped,S24_3432,Gift Depot Inc.,Small
10131,22,8,18-11-2005 00:00,Shipped,S700_2047,Gift Ideas Corp.,Small
10232,22,6,19-11-2005 00:00,Shipped,S18_3140,giftsbymail.co.uk,Medium
10181,22,10,20-11-2005 00:00,Shipped,S18_1889,Herkku Gifts,Small
10181,22,16,21-11-2005 00:00,Shipped,S18_3482,Herkku Gifts,Medium
10275,22,4,22-11-2005 00:00,Shipped,S10_2016,La Rochelle Gifts,Small
10266,22,12,23-11-2005 00:00,Shipped,S12_3380,L'ordine Souveniers,Small
10176,22,6,24-11-2005 00:00,Shipped,S32_3207,L'ordine Souveniers,Small
10416,22,11,25-11-2005 00:00,Shipped,S700_2466,L'ordine Souveniers,Small
10356,22,6,26-11-2005 00:00,Shipped,S18_1367,Lyon Souveniers,Small
10305,22,14,27-11-2005 00:00,Shipped,S18_4600,Marta's Replicas Co.,Small
10209,22,7,28-11-2005 00:00,Shipped,S24_3816,"Men 'R' US Retailers, Ltd.",Small
10319,22,8,29-11-2005 00:00,Shipped,S32_4485,Microscale Inc.,Small
10241,22,8,30-11-2005 00:00,Shipped,S24_1046,Mini Caravy,Small
10365,22,3,01-12-2005 00:00,Shipped,S32_4485,Mini Creations Ltd.,Medium
10185,22,5,02-12-2005 00:00,Shipped,S700_3962,Mini Creations Ltd.,Small
10229,22,5,03-12-2005 00:00,Shipped,S18_3232,Mini Gifts Distributors Ltd.,Medium
10142,22,10,04-12-2005 00:00,Shipped,S18_3259,Mini Gifts Distributors Ltd.,Small
10271,22,1,05-12-2005 00:00,Shipped,S24_4048,Mini Gifts Distributors Ltd.,Medium
10390,22,13,06-12-2005 00:00,Shipped,S50_4713,Mini Gifts Distributors Ltd.,Medium
10201,22,2,07-12-2005 00:00,Shipped,S10_1678,Mini Wheels Co.,Small
10236,22,1,08-12-2005 00:00,Shipped,S10_2016,Motor Mint Distributors Inc.,Small
10127,22,15,09-12-2005 00:00,Shipped,S18_3232,Muscle Machine Inc,Medium
10301,22,5,10-12-2005 00:00,Shipped,S18_2870,"Norway Gifts By Mail, Co.",Medium
10301,22,3,11-12-2005 00:00,Shipped,S24_1628,"Norway Gifts By Mail, Co.",Small
10284,22,3,12-12-2005 00:00,Shipped,S24_1785,"Norway Gifts By Mail, Co.",Small
10301,22,2,13-12-2005 00:00,Shipped,S24_3432,"Norway Gifts By Mail, Co.",Small
10322,22,10,14-12-2005 00:00,Shipped,S18_1097,Online Diecast Creations Co.,Small
10192,22,11,15-12-2005 00:00,Shipped,S18_1129,Online Diecast Creations Co.,Medium
10100,22,4,16-12-2005 00:00,Shipped,S18_4409,Online Diecast Creations Co.,Small
10373,22,5,17-12-2005 00:00,Shipped,S18_3029,"Oulu Toy Supplies, Inc.",Small
10273,22,11,18-12-2005 00:00,Shipped,S24_2011,Petit Auto,Small
10261,22,3,19-12-2005 00:00,Shipped,S24_3151,Quebec Home Shopping Network,Small
10359,22,7,20-12-2005 00:00,Shipped,S24_4048,Reims Collectables,Small
10359,22,1,21-12-2005 00:00,Shipped,S32_3207,Reims Collectables,Medium
10398,22,4,22-12-2005 00:00,Shipped,S32_4289,Reims Collectables,Small
10398,22,8,23-12-2005 00:00,Shipped,S700_2466,Reims Collectables,Small
10173,22,7,24-12-2005 00:00,Shipped,S18_2795,Rovelli Gifts,Medium
10173,22,3,25-12-2005 00:00,Shipped,S24_4258,Rovelli Gifts,Small
10283,22,10,26-12-2005 00:00,Shipped,S700_3505,"Royal Canadian Collectables, Ltd.",Small
10124,22,12,27-12-2005 00:00,Shipped,S24_1046,Signal Gift Stores,Small
10124,22,1,28-12-2005 00:00,Shipped,S24_2022,Signal Gift Stores,Small
10346,22,4,29-12-2005 00:00,Shipped,S24_3969,Signal Gift Stores,Small
10175,22,8,30-12-2005 00:00,Shipped,S32_1268,"Stylish Desk Decors, Co.",Small
10363,22,7,31-12-2005 00:00,Shipped,S18_1889,Suominen Souveniers,Medium
10362,22,4,01-01-2006 00:00,Shipped,S10_4698,Technics Stores Inc.,Medium
10362,22,1,02-01-2006 00:00,Shipped,S12_2823,Technics Stores Inc.,Medium
10339,22,5,03-01-2006 00:00,Shipped,S700_1138,"Tokyo Collectables, Ltd",Small
10253,22,11,04-01-2006 00:00,Cancelled,S12_3380,"UK Collectables, Ltd.",Small
10148,23,13,05-01-2006 00:00,Shipped,S18_1129,"Anna's Decorations, Ltd",Small
10193,23,2,06-01-2006 00:00,Shipped,S18_3136,"Australian Collectables, Ltd",Small
